'2', 'Blood Pressure checkup', 'BP Checkup', 'BP_CHECKUP', 'BP Checkup', 'General', '4', '1', 'N', 'Y', '100.00', '1', '1', '1', '2013-07-01 09:00:00', '757', '2017-04-10 15:16:50', 'Y'
'3', '1 Time GRBS (Glucometer RBS)', '1 Time GRBS', 'TST2335', '1 Time GRBS (Glucometer RBS)', 'Diagnostic', '2', '1', 'N', 'Y', '50.00', '1', '1', '1', '2013-07-01 09:00:00', '957', '2014-12-25 16:26:22', 'Y'
'4', '17 hydroxy Progesterone', '', 'TST2257', '17 hydroxy Progesterone,', 'Diagnostic', '2', '1', 'N', 'Y', '1600.00', '1', '1', '1', '2013-07-01 09:00:00', '757', '2019-08-26 16:26:48', 'Y'
'5', 'Dr. Sarfaraz', 'ICU Dr.\'s Consultation', '02', 'Consultation', 'Procedure', '5', '1', 'N', 'Y', '350.00', '1', '1', '1', '2013-07-01 09:00:00', '757', '2020-07-29 18:53:38', 'Y'
'6', '2 Time GRBS (Glucometer RBS)', '2 Time GRBS', 'TST2336', '2 Time GRBS (Glucometer RBS)', 'Diagnostic', '2', '1', 'N', 'Y', '100.00', '1', '1', '1', '2013-07-01 09:00:00', '757', '2014-11-26 16:08:46', 'Y'
'7', 'Dr Priyanka Consultation', 'Consultation', '1', NULL, 'Procedure', '5', '1', 'N', 'Y', '800.00', '1', '1', '1', '2013-07-01 09:00:00', '1803', '2022-01-22 14:54:19', 'N'
'8', '24 Hours Urine Metanephrines', 'Urine Metanephrines (24 H', 'TST2166', '24 Hours Urine Metanephrines', 'Diagnostic', '2', '1', 'N', 'Y', '2000.00', '1', '1', '1', '2013-07-01 09:00:00', '757', '2013-07-01 09:00:00', 'N'
'9', '24 Hours Urine for Protein Creatinine Ratio', 'Urine for Protein Creatin', 'TST2163', '24 Hours Urine for Protein Creatinine Ratio', 'Diagnostic', '2', '1', 'N', 'Y', '400.00', '1', '1', '1', '2013-07-01 09:00:00', '1', '2013-07-01 09:00:00', 'N'
'10', 'GTT / OGTT (100 grms 3 Hour)', 'GTT / OGTT (3 Hrs)', 'TST2129', 'GTT / OGTT (3 Hrs Oral Glucose Tolerance Test', 'Diagnostic', '2', '1', 'N', 'Y', '180.00', '1', '1', '1', '2013-07-01 09:00:00', '757', '2013-07-01 09:00:00', 'N'
'11', '3 Time GRBS (Glucometer RBS)', '3 Time GRBS', 'TST2337', '3 Time GRBS (Glucometer RBS)', 'Diagnostic', '2', '1', 'N', 'Y', '150.00', '1', '1', '1', '2013-07-01 09:00:00', '1', '2013-07-01 09:00:00', 'Y'
'12', 'A/G Ratio', 'A/G Ratio', 'TST2047', 'A/G Ratio', 'Diagnostic', '2', '1', 'N', 'Y', '120.00', '1', '1', '1', '2013-07-01 09:00:00', '757', '2015-01-19 10:25:09', 'Y'
